BbgTckr,Alias
NYM1CNCL Index,cl.nc.f.long
NYM1CNCS Index,cl.nc.f.short
NYMOCNCL Index,cl.nc.fo.long
NYMOCNCS Index,cl.nc.fo.short
NYM1CNCP Index,cl.nc.f.sprd
NYMOCNCP Index,cl.nc.fo.sprd
NYM1CCOL Index,cl.cm.f.long
NYM1CCOS Index,cl.cm.f.short
NYMOCCOL Index,cl.cm.fo.long
NYMOCCOS Index,cl.cm.fo.short
NYM1CTLL Index,cl.cmb.f.long
NYM1CTLS Index,cl.cmb.f.short
NYMOCTLL Index,cl.cmb.fo.long
NYMOCTLS Index,cl.cmb.fo.short
NYM1CNRL Index,cl.nr.f.long
NYM1CNRS Index,cl.nr.f.short
NYMOCNRL Index,cl.nr.fo.long
NYMOCNRS Index,cl.nr.fo.short
CFFDQPML Index,cl.pm.f.long
CFFDQPMS Index,cl.pm.f.short
CFCDQPML Index,cl.pm.fo.long
CFCDQPMS Index,cl.pm.fo.short
CFFDQSWL Index,cl.sd.f.long
CFFDQSWS Index,cl.sd.f.short
CFCDQSWL Index,cl.sd.fo.long
CFCDQSWS Index,cl.sd.fo.short
CFFDQSWD Index,cl.sd.f.sprd
CFCDQSWD Index,cl.sd.fo.sprd
CFFDQMML Index,cl.mm.f.long
CFFDQMMS Index,cl.mm.f.short
CFCDQMML Index,cl.mm.fo.long
CFCDQMMS Index,cl.mm.fo.short
CFFDQMMD Index,cl.mm.f.sprd
CFCDQMMD Index,cl.mm.fo.sprd
CFFDQORL Index,cl.xr.f.long
CFFDQORS Index,cl.xr.f.short
CFCDQORL Index,cl.xr.fo.long
CFCDQORS Index,cl.xr.fo.short
CFFDQORD Index,cl.xr.f.sprd
CFCDQORD Index,cl.xr.fo.sprd
NYM1NNCL Index,ng.nc.f.long
NYM1NNCS Index,ng.nc.f.short
NYMONNCL Index,ng.nc.fo.long
NYMONNCS Index,ng.nc.fo.short
NYM1NNCP Index,ng.nc.f.sprd
NYMONNCP Index,ng.nc.fo.sprd
NYM1NCOL Index,ng.cm.f.long
NYM1NCOS Index,ng.cm.f.short
NYMONCOL Index,ng.cm.fo.long
NYMONCOS Index,ng.cm.fo.short
NYM1NTLL Index,ng.cmb.f.long
NYM1NTLS Index,ng.cmb.f.short
NYMONTLL Index,ng.cmb.fo.long
NYMONTLS Index,ng.cmb.fo.short
NYM1NNRL Index,ng.nr.f.long
NYM1NNRS Index,ng.nr.f.short
NYMONNRL Index,ng.nr.fo.long
NYMONNRS Index,ng.nr.fo.short
CFFDOPML Index,ng.pm.f.long
CFFDOPMS Index,ng.pm.f.short
CFCDOPML Index,ng.pm.fo.long
CFCDOPMS Index,ng.pm.fo.short
CFFDOSWL Index,ng.sd.f.long
CFFDOSWS Index,ng.sd.f.short
CFCDOSWL Index,ng.sd.fo.long
CFCDOSWS Index,ng.sd.fo.short
CFFDOSWD Index,ng.sd.f.sprd
CFCDOSWD Index,ng.sd.fo.sprd
CFFDOMML Index,ng.mm.f.long
CFFDOMMS Index,ng.mm.f.short
CFCDOMML Index,ng.mm.fo.long
CFCDOMMS Index,ng.mm.fo.short
CFFDOMMD Index,ng.mm.f.sprd
CFCDOMMD Index,ng.mm.fo.sprd
CFFDOORL Index,ng.xr.f.long
CFFDOORS Index,ng.xr.f.short
CFCDOORL Index,ng.xr.fo.long
