BbgTckr,Alias
HDKUSDCR Index,hkd.ridx
AUDUSDCR Index,aud.ridx
CADUSDCR Index,cad.ridx
EURUSDCR Index,eur.ridx
GBPUSDCR Index,gbp.ridx
CHFUSDCR Index,chf.ridx
JPYUSDCR Index,jpy.ridx
NZDUSDCR Index,nzd.ridx
NOKUSDCR Index,nok.ridx
SEKUSDCR Index,sek.ridx
HKD Curncy,hkd.spot
AUD Curncy,aud.spot
CAD Curncy,cad.spot
EUR Curncy,eur.spot
GBP Curncy,gbp.spot
CHF Curncy,chf.spot
JPY Curncy,jpy.spot
NZD Curncy,nzd.spot
NOK Curncy,nok.spot
SEK Curncy,sek.spot
HKD3M Curncy,hkd.3m
AUD3M Curncy,aud.3m
CAD3M Curncy,cad.3m
EUR3M Curncy,eur.3m
GBP3M Curncy,gbp.3m
CHF3M Curncy,chf.3m
JPY3M Curncy,jpy.3m
NZD3M Curncy,nzd.3m
NOK3M Curncy,nok.3m
SEK3M Curncy,sek.3m
HKD1M Curncy,hkd.1m
AUD1M Curncy,aud.1m
CAD1M Curncy,cad.1m
EUR1M Curncy,eur.1m
GBP1M Curncy,gbp.1m
CHF1M Curncy,chf.1m
JPY1M Curncy,jpy.1m
NZD1M Curncy,nzd.1m
NOK1M Curncy,nok.1m
SEK1M Curncy,sek.1m
BPPPCPAU Index,aud.cppp
BPPPCPCA Index,cad.cppp
BPPPCPEU Index,eur.cppp
BPPPCPGB Index,gbp.cppp
BPPPCPCH Index,chf.cppp
BPPPCPJP Index,jpy.cppp
BPPPCPNZ Index,nzd.cppp
BPPPCPNO Index,nok.cppp
BPPPCPSE Index,sek.cppp
BPPPPPAU Index,aud.pppp
BPPPPPCA Index,cad.pppp
BPPPPPEU Index,eur.pppp
BPPPPPGB Index,gbp.pppp
BPPPPPCH Index,chf.pppp
BPPPPPJP Index,jpy.pppp
BPPPPPNZ Index,nzd.pppp
BPPPPPNO Index,nok.pppp
BPPPPPSE Index,sek.pppp
HKD6M Curncy,hkd.6m
AUD6M  Curncy,aud.6m
CAD6M  Curncy,cad.6m
EUR6M  Curncy,eur.6m
GBP6M  Curncy,gbp.6m
CHF6M  Curncy,chf.6m
JPY6M  Curncy,jpy.6m
NZD6M  Curncy,nzd.6m
NOK6M  Curncy,nok.6m
SEK6M  Curncy,sek.6m
