pt,sp,ib,hi,eo,es,vg,z ,cf,gx,sm,nk,tp,xp,ux,ty,fv,tu,cn,rx,oe,du,g ,ik,oat,jb,ed,er,l ,ba,xm,ym,cl,co,ng,qs,ho,xbw,w ,c ,s ,kw,sm,bo,ct,cc,kc,sb,lh,lc,hg,gc,si,pl,pa,o ,mw,rr,fc,la,ln,lx,ll,lp,jo,ec,cd,ad,jy,sf,bp,nv,se,no,br,ra,ru,pe,dx
1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,13,13,13,13,13,13,6,6,8,6,9,9,6,6,6,5,9,7,6,7,6,6,6,6,6,6,6,13,13,13,13,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Comdty,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy,Curncy
pt,sp,ib,hi,eo,es,vg,z,cf,gx,sm,nk,tp,xp,ux,ty,fv,tu,cn,rx,oe,du,g,ik,oat,jb,ed,er,l,ba,xm,ym,cl,co,ng,qs,ho,xbw,w,c,s,kw,sym,bo,ct,cc,kc,sb,lh,lc,hg,gc,si,pl,pa,o,mw,rr,fc,la,ln,lx,ll,lp,jo,ec,cd,ad,jy,sf,bp,nv,se,no,br,ra,ru,pe,dx
PTZ99 Index,SPM82 Index,IBH92 Index,HIJ92 Index,EOF89 Index,ESU97 Index,VGU98 Index,Z H88 Index,CFZ88 Index,GXZ90 Index,SMV91 Index,NKZ88 Index,TPM90 Index,XPM00 Index,UXK04 Index,TYM82 Comdty,FVM88 Comdty,TUU90 Comdty,CNZ89 Comdty,RXZ90 Comdty,OEZ91 Comdty,DUM97 Comdty,G H83 Comdty,IKZ09 Comdty,OATM12 Comdty,JBZ85 Comdty,EDH87 Comdty,ERF99 Comdty,L H88 Comdty,BAU90 Comdty,XMZ87 Comdty,YMM89 Comdty,CLM83 Comdty,COU88 Comdty,NGM90 Comdty,QSQ89 Comdty,HON86 Comdty,XBWF87 Comdty,W N59 Comdty,C U59 Comdty,S U59 Comdty,KWH70 Comdty,SMZ59 Comdty,BOU59 Comdty,CTN60 Comdty,CCH60 Comdty,KCH73 Comdty,SBN61 Comdty,LHG87 Comdty,LCJ65 Comdty,HGF89 Comdty,GCF75 Comdty,SIF75 Comdty,PLF87 Comdty,PAF87 Comdty,O Z59 Comdty,MWH70 Comdty,RRF89 Comdty,FCH72 Comdty,LAQ97 Comdty,LNQ97 Comdty,LXQ97 Comdty,LLF98 Comdty,LPN97 Comdty,JOK67 Comdty,ECH99 Curncy,CDH87 Curncy,ADH87 Curncy,JYH87 Curncy,SFH87 Curncy,BPH87 Curncy,NVM97 Curncy,SEM02 Curncy,NOM02 Curncy,BRZ95 Curncy,RAM97 Curncy,RUM98 Curncy,PEM95 Curncy,DXH87 Curncy
PTH00 Index,SPU82 Index,IBJ92 Index,HIK92 Index,EOG89 Index,ESZ97 Index,VGZ98 Index,Z M88 Index,CFF89 Index,GXH91 Index,SMX91 Index,NKH89 Index,TPU90 Index,XPU00 Index,UXM04 Index,TYU82 Comdty,FVU88 Comdty,TUZ90 Comdty,CNH90 Comdty,RXH91 Comdty,OEH92 Comdty,DUU97 Comdty,G M83 Comdty,IKH10 Comdty,OATU12 Comdty,JBH86 Comdty,EDM87 Comdty,ERG99 Comdty,L M88 Comdty,BAZ90 Comdty,XMH88 Comdty,YMU89 Comdty,CLN83 Comdty,COV88 Comdty,NGN90 Comdty,QSU89 Comdty,HOQ86 Comdty,XBWG87 Comdty,W U59 Comdty,C Z59 Comdty,S X59 Comdty,KWK70 Comdty,SMF60 Comdty,BOV59 Comdty,CTZ60 Comdty,CCK60 Comdty,KCK73 Comdty,SBU61 Comdty,LHJ87 Comdty,LCM65 Comdty,HGG89 Comdty,GCG75 Comdty,SIG75 Comdty,PLG87 Comdty,PAG87 Comdty,O H60 Comdty,MWK70 Comdty,RRH89 Comdty,FCJ72 Comdty,LAU97 Comdty,LNU97 Comdty,LXU97 Comdty,LLG98 Comdty,LPQ97 Comdty,JON67 Comdty,ECM99 Curncy,CDM87 Curncy,ADM87 Curncy,JYM87 Curncy,SFM87 Curncy,BPM87 Curncy,NVU97 Curncy,SEU02 Curncy,NOU02 Curncy,BRF96 Curncy,RAN97 Curncy,RUU98 Curncy,PEU95 Curncy,DXM87 Curncy
PTM00 Index,SPZ82 Index,IBK92 Index,HIM92 Index,EOH89 Index,ESH98 Index,VGH99 Index,Z U88 Index,CFG89 Index,GXM91 Index,SMZ91 Index,NKM89 Index,TPZ90 Index,XPZ00 Index,UXN04 Index,TYZ82 Comdty,FVZ88 Comdty,TUH91 Comdty,CNM90 Comdty,RXM91 Comdty,OEM92 Comdty,DUZ97 Comdty,G U83 Comdty,IKM10 Comdty,OATZ12 Comdty,JBM86 Comdty,EDU87 Comdty,ERH99 Comdty,L U88 Comdty,BAH91 Comdty,XMM88 Comdty,YMZ89 Comdty,CLQ83 Comdty,COX88 Comdty,NGQ90 Comdty,QSV89 Comdty,HOU86 Comdty,XBWH87 Comdty,W Z59 Comdty,C H60 Comdty,S F60 Comdty,KWN70 Comdty,SMH60 Comdty,BOZ59 Comdty,CTH61 Comdty,CCN60 Comdty,KCN73 Comdty,SBV61 Comdty,LHM87 Comdty,LCQ65 Comdty,HGH89 Comdty,GCH75 Comdty,SIH75 Comdty,PLH87 Comdty,PAH87 Comdty,O K60 Comdty,MWM70 Comdty,RRK89 Comdty,FCK72 Comdty,LAV97 Comdty,LNV97 Comdty,LXV97 Comdty,LLH98 Comdty,LPU97 Comdty,JOX67 Comdty,ECU99 Curncy,CDU87 Curncy,ADU87 Curncy,JYU87 Curncy,SFU87 Curncy,BPU87 Curncy,NVZ97 Curncy,SEZ02 Curncy,NOZ02 Curncy,BRG96 Curncy,RAQ97 Curncy,RUV98 Curncy,PEZ95 Curncy,DXU87 Curncy
PTU00 Index,SPH83 Index,IBM92 Index,HIN92 Index,EOJ89 Index,ESM98 Index,VGM99 Index,Z Z88 Index,CFH89 Index,GXU91 Index,SMF92 Index,NKU89 Index,TPH91 Index,XPH01 Index,UXQ04 Index,TYH83 Comdty,FVH89 Comdty,TUM91 Comdty,CNU90 Comdty,RXU91 Comdty,OEU92 Comdty,DUH98 Comdty,G Z83 Comdty,IKU10 Comdty,OATH13 Comdty,JBU86 Comdty,EDZ87 Comdty,ERJ99 Comdty,L Z88 Comdty,BAM91 Comdty,XMU88 Comdty,YMH90 Comdty,CLU83 Comdty,COZ88 Comdty,NGU90 Comdty,QSX89 Comdty,HOV86 Comdty,XBWJ87 Comdty,W H60 Comdty,C K60 Comdty,S H60 Comdty,KWU70 Comdty,SMK60 Comdty,BOF60 Comdty,CTK61 Comdty,CCU60 Comdty,KCU73 Comdty,SBH62 Comdty,LHN87 Comdty,LCV65 Comdty,HGJ89 Comdty,GCJ75 Comdty,SIJ75 Comdty,PLJ87 Comdty,PAJ87 Comdty,O N60 Comdty,MWN70 Comdty,RRF90 Comdty,FCQ72 Comdty,LAX97 Comdty,LNX97 Comdty,LXX97 Comdty,LLJ98 Comdty,LPV97 Comdty,JOF68 Comdty,ECZ99 Curncy,CDZ87 Curncy,ADZ87 Curncy,JYZ87 Curncy,SFZ87 Curncy,BPZ87 Curncy,NVH98 Curncy,SEH03 Curncy,NOH03 Curncy,BRH96 Curncy,RAU97 Curncy,RUX98 Curncy,PEH96 Curncy,DXZ87 Curncy
PTZ00 Index,SPM83 Index,IBN92 Index,HIQ92 Index,EOK89 Index,ESU98 Index,VGU99 Index,Z H89 Index,CFJ89 Index,GXZ91 Index,SMG92 Index,NKZ89 Index,TPM91 Index,XPM01 Index,UXU04 Index,TYM83 Comdty,FVM89 Comdty,TUU91 Comdty,CNZ90 Comdty,RXZ91 Comdty,OEZ92 Comdty,DUM98 Comdty,G H84 Comdty,IKZ10 Comdty,OATM13 Comdty,JBZ86 Comdty,EDH88 Comdty,ERK99 Comdty,L H89 Comdty,BAU91 Comdty,XMZ88 Comdty,YMM90 Comdty,CLV83 Comdty,COF89 Comdty,NGV90 Comdty,QSZ89 Comdty,HOX86 Comdty,XBWK87 Comdty,W K60 Comdty,C N60 Comdty,S K60 Comdty,KWZ70 Comdty,SMN60 Comdty,BOH60 Comdty,CTN61 Comdty,CCZ60 Comdty,KCX73 Comdty,SBK62 Comdty,LHQ87 Comdty,LCZ65 Comdty,HGK89 Comdty,GCK75 Comdty,SIK75 Comdty,PLK87 Comdty,PAK87 Comdty,O U60 Comdty,MWU70 Comdty,RRH90 Comdty,FCU72 Comdty,LAZ97 Comdty,LNZ97 Comdty,LXZ97 Comdty,LLK98 Comdty,LPX97 Comdty,JOH68 Comdty,ECH00 Curncy,CDH88 Curncy,ADH88 Curncy,JYH88 Curncy,SFH88 Curncy,BPH88 Curncy,NVM98 Curncy,SEM03 Curncy,NOM03 Curncy,BRJ96 Curncy,RAV97 Curncy,RUZ98 Curncy,PEM96 Curncy,DXH88 Curncy
PTH01 Index,SPU83 Index,IBQ92 Index,HIU92 Index,EOM89 Index,ESZ98 Index,VGZ99 Index,Z M89 Index,CFK89 Index,GXH92 Index,SMH92 Index,NKH90 Index,TPU91 Index,XPU01 Index,UXV04 Index,TYU83 Comdty,FVU89 Comdty,TUZ91 Comdty,CNH91 Comdty,RXH92 Comdty,OEH93 Comdty,DUU98 Comdty,G M84 Comdty,IKH11 Comdty,OATU13 Comdty,JBH87 Comdty,EDM88 Comdty,ERM99 Comdty,L M89 Comdty,BAZ91 Comdty,XMH89 Comdty,YMU90 Comdty,CLX83 Comdty,COG89 Comdty,NGX90 Comdty,QSF90 Comdty,HOZ86 Comdty,XBWM87 Comdty,W N60 Comdty,C U60 Comdty,S N60 Comdty,KWH71 Comdty,SMQ60 Comdty,BOK60 Comdty,CTV61 Comdty,CCH61 Comdty,KCZ73 Comdty,SBN62 Comdty,LHV87 Comdty,LCG66 Comdty,HGM89 Comdty,GCM75 Comdty,SIM75 Comdty,PLM87 Comdty,PAM87 Comdty,O Z60 Comdty,MWZ70 Comdty,RRK90 Comdty,FCV72 Comdty,LAF98 Comdty,LNF98 Comdty,LXF98 Comdty,LLM98 Comdty,LPZ97 Comdty,JOK68 Comdty,ECM00 Curncy,CDM88 Curncy,ADM88 Curncy,JYM88 Curncy,SFM88 Curncy,BPM88 Curncy,NVU98 Curncy,SEU03 Curncy,NOU03 Curncy,BRK96 Curncy,RAX97 Curncy,RUF99 Curncy,PEU96 Curncy,DXM88 Curncy
